product_id,shade_id,brand_name,product_name,shade_name,chip_hex,chip_rgb,r,g,b,L_lab,a_lab,b_lab,C_lab,H_lab_deg,cluster_id
P1000203314,352453,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 829 Le Fuchsia Profond (3,5g)",#d13452,"209,52,82",209,52,82,47.783713364166594,61.864648721411065,20.770042520655508,65.25817517930933,18.558633279408696,3
P1000203314,352464,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 214 Le Rouge Kiss (3,5g)",#cc1017,"204,16,23",204,16,23,43.1734787941691,66.34473967340415,48.87409732865089,82.40328799278707,36.37791436054289,27
P1000203314,352477,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Satin - 510 Le Rouge Vibrant (3,5g)",#bd000e,"189,0,14",189,0,14,39.33384985408899,64.09106132454068,48.5353110424325,80.39490381667052,37.13616415103195,27
P1000203314,381729,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 139 Le Nude Dragée (3,5g)",#b25e51,"178,94,81",178,94,81,49.57723505200843,32.70804802165173,22.786015878840125,39.86250023540207,34.86294400189456,17
P1000203314,381737,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 819 Le Brun Cajou (3,5g)",#743a32,"116,58,50",116,58,50,31.739421166618868,24.56117178481588,16.53419539745762,29.607951244294902,33.947821141788154,28
P1000203314,381734,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - Le Beige Blush (3,5g)",#c87362,"200,115,98",200,115,98,57.48791806094397,31.6445484671884,23.947196884804068,39.68432544886967,37.116827316394165,25
P1000203314,381730,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 234 L'Orange Sienne (3,5g)",#b45547,"180,85,71",180,85,71,47.82614884971066,37.41130493300516,26.44221430779245,45.81262308894264,35.252571745510295,4
P1000203314,381732,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 456 Le Rouge Corail (3,5g)",#d22e3c,"210,46,60",210,46,60,46.95654544350545,62.80388449070451,33.010314923446614,70.95074910433911,27.72683971858328,14
P1000203314,381731,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 555 Le Brique Ambré (3,5g)",#a23b32,"162,59,50",162,59,50,39.65102843198613,42.068074481462105,28.101926028281365,50.59091951207095,33.74334932252401,29
P1000203314,381733,GUERLAIN,Rouge G - La Recharge - Le Rouge À Lèvres Soin Personnalisable,"Velvet - 777 Le Prune Magenta (3,5g)",#99343a,"153,52,58",153,52,58,36.99612647843208,42.54836234363408,19.53360280843799,46.81799629205627,24.65946562249433,8
